;Especie ;Grupo;M-1;M-2;M-3;M-4;M-5;M-6;M-7;M-8;M-9;M-10;M-11;M-12;M-13;M-14;M-15;M-16;M-17;M-18;M-19;M-20;M-21;M-22;M-23;M-24;M-25;M-26;M-27;M-28;M-29
51;P. ticto;5;0,36;0,96;0,25;0,28;0,13;0,15;0,7;0,79;0,74;0,9;1,26;0,56;0,48;0,57;0,4;0,4;0,57;0,57;0,18;25;8;10;11;9;12;9;9;19;25
52;P. ticto;5;0,36;0,88;0,26;0,28;0,13;0,16;0,72;0,72;0,68;0,77;1,12;0,55;0,48;0,57;0,4;0,33;0,57;0,48;0,22;23;9;10;11;9;12;9;9;19;25
53;P. ticto;5;0,37;0,93;0,27;0,28;0,13;0,15;0,77;0,73;0,69;0,77;1,17;0,57;0,51;0,6;0,43;0,36;0,6;0,51;0,2;24;8;10;11;9;12;9;9;19;25
54;P. ticto;5;0,41;0,98;0,26;0,28;0,14;0,16;0,71;0,71;0,76;0,85;1,28;0,58;0,48;0,57;0,4;0,33;0,57;0,4;0,18;24;9;11;12;9;11;9;9;19;26
55;P. ticto;5;0,38;0,84;0,25;0,26;0,13;0,15;0,7;0,7;0,74;0,79;1,14;0,56;0,48;0,48;0,4;0,33;0,57;0,27;0,18;25;9;10;11;9;12;9;9;19;25
56;P. ticto;5;0,37;0,83;0,29;0,27;0,13;0,15;0,69;0,69;0,69;0,83;1,13;0,62;0,41;0,51;0,41;0,27;0,51;0,27;0,16;24;9;11;11;9;12;9;9;19;25
57;P. ticto;5;0,37;0,83;0,27;0,29;0,13;0,15;0,69;0,73;0,69;0,89;1,26;0,59;0,45;0,45;0,37;0,3;0,45;0,37;0,19;23;9;11;11;9;11;9;9;19;28
58;P. ticto;5;0,36;0,9;0,25;0,28;0,12;0,15;0,64;0,64;0,64;0,84;1,2;0,6;0,38;0,48;0,38;0,3;0,48;0,3;0,18;22;8;11;12;9;12;9;9;19;25
59;P. ticto;5;0,43;0,97;0,29;0,32;0,16;0,18;0,75;0,71;0,75;0,9;1,27;0,63;0,41;0,51;0,34;0,27;0,51;0,34;0,16;25;9;11;11;9;11;9;9;19;25
60;P. ticto;5;0,38;0,93;0,25;0,26;0,12;0,14;0,74;0,74;0,7;0,82;1,18;0,57;0,43;0,36;0,3;0,3;0,51;0,43;0,2;25;8;10;11;9;12;9;9;19;26
61;P. ticto;5;0,36;0,9;0,25;0,28;0,12;0,15;0,64;0,64;0,64;0,84;1,2;0,6;0,38;0,48;0,38;0,3;0,48;0,3;0,18;24;9;10;11;9;11;9;9;19;25
62;P. ticto;5;0,37;0,85;0,24;0,26;0,15;0,17;0,71;0,71;0,75;0,85;1,27;0,6;0,45;0,54;0,37;0,3;0,54;0,37;0,15;24;9;11;11;9;11;9;9;19;25
63;P. ticto;5;0,38;0,9;0,25;0,26;0,13;0,15;0,7;0,7;0,74;0,79;1,14;0,56;0,48;0,48;0,4;0,33;0,57;0,27;0,18;25;8;10;11;9;12;9;9;19;25
64;P. ticto;5;0,37;0,83;0,27;0,29;0,13;0,15;0,69;0,73;0,69;0,89;1,26;0,59;0,45;0,45;0,37;0,3;0,45;0,37;0,19;25;8;10;12;9;12;9;9;19;25
65;P. ticto;5;0,36;0,96;0,25;0,28;0,13;0,15;0,7;0,79;0,74;0,9;1,26;0,56;0,48;0,57;0,4;0,4;0,57;0,57;0,18;23;9;11;11;9;12;9;9;19;25
66;P. ticto;5;0,37;0,92;0,26;0,27;0,13;0,15;0,76;0,72;0,68;0,76;1,16;0,56;0,51;0,6;0,43;0,36;0,6;0,51;0,2;25;9;10;11;9;12;9;9;19;27
67;P. ticto;5;0,37;0,83;0,27;0,29;0,13;0,15;0,69;0,73;0,69;0,89;1,26;0,59;0,45;0,45;0,37;0,3;0,45;0,37;0,19;24;9;11;11;9;12;9;9;19;25
68;P. ticto;5;0,36;0,88;0,26;0,28;0,13;0,16;0,72;0,72;0,68;0,77;1,12;0,55;0,48;0,57;0,4;0,33;0,57;0,48;0,22;24;8;11;11;9;12;9;9;19;25
69;P. ticto;5;0,35;0,9;0,26;0,29;0,14;0,16;0,71;0,79;0,75;0,9;1,27;0,57;0,48;0,57;0,4;0,4;0,57;0,57;0,18;25;9;11;11;9;11;9;9;19;27
70;P. ticto;5;0,35;0,91;0,26;0,29;0,15;0,16;0,65;0,65;0,65;0,85;1,21;0,61;0,38;0,48;0,38;0,3;0,48;0,3;0,18;25;10;10;11;9;12;9;9;19;25
